Home,Visitor,Visitor_Score,Home_Score
Toledo,Eastern Mich.,15,20
Tulane,Tulsa,28,62
UAB,Louisiana Tech,22,23
UNLV,San Diego St.,41,10
USC,Oregon St.,10,38
UTEP,Western Kentucky,15,14
Utah,Stanford,23,20
Utah St.,Colorado St.,27,14
Vanderbilt,Georgia,45,14
Virginia,Duke,21,28
Washington,California,7,38
Air Force,UNLV,30,34
Alabama,Arkansas,9,41
Arizona,UCLA,30,47
Arizona St.,Washington,7,13
Arkansas St.,Coastal Carolina,17,51
Army,Eastern Mich.,27,28
Bowling Green,Ohio,48,30
Buffalo,Northern Ill.,14,13
California,Washington St.,3,37
Central Florida,East Carolina,21,63
Central Mich.,Toledo,30,10
Colorado St.,Nevada,42,44
Duke,Florida St.,17,10
Florida,Texas A&M,19,17
Florida Intl.,Tulane,10,23
Fresno St.,New Mexico,0,38
Georgia,Missouri,28,53
Georgia Southern,New Mexico St.,35,27
Hawaii,San Jose St.,26,37
Idaho,Appalachian St.,23,20
Illinois,Rutgers,35,24
Indiana,Michigan,27,20
Iowa St.,Kansas,0,45
Kansas St.,TCU,26,6
Kent,Miami (Ohio),14,17
LSU,Auburn,23,27
Louisiana-Lafayette,Texas St.,7,24
Louisiana-Monroe,Georgia St.,47,37
Louisville,Boston College,45,42
Marshall,Old Dominion,3,35
Maryland,Northwestern,37,21
Memphis,Navy,27,30
Miami (Fla.),Georgia Tech,24,25
Minnesota,Michigan St.,30,27
Mississippi,Vanderbilt,35,57
Mississippi St.,BYU,10,35
Nebraska,Ohio St.,56,14
North Carolina,Virginia,20,14
North Texas,Texas-San Antonio,26,29
Oklahoma St.,Baylor,16,59
Oregon St.,Colorado,36,33
Pittsburgh,NC St.,35,17
San Diego St.,Boise St.,31,14
South Florida,Cincinnati,3,33
Southern Miss.,UTEP,0,24
Stanford,Oregon,7,49
Syracuse,Clemson,24,27
Temple,Connecticut,28,24
Tennessee,South Carolina,15,9
Texas,Oklahoma,29,24
Troy St.,South Alabama,19,8
Tulsa,Houston,17,45
UAB,Middle Tenn.,23,25
USC,Utah,27,28
Utah St.,Wyoming,28,23
West Va.,Texas Tech,35,46
Western Kentucky,Charlotte,14,45
Western Mich.,Akron,14,13
Wisconsin,Purdue,9,17
Alabama,Tennessee,7,45
